Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_27_trace,219.70562553405762,Pass,6564.143161773682,40000052,6376187,6.2733,1891315,35058,0.2966,0.0055,1.8536%,0.8764,1152400,32.8712,28.8100,20000052,2954733,6.7688,940632,14846,0.3183,0.0050,1.5783%,0.7423,509386,34.3113,25.4692
int,int_28_trace,185.9219560623169,Pass,5782.029823064804,40000052,8449511,4.7340,4006233,146821,0.4741,0.0174,3.6648%,3.6705,3701608,25.2117,92.5401,20000052,4105266,4.8718,1994428,68977,0.4858,0.0168,3.4585%,3.4488,1762082,25.5459,88.1039
int,int_29_trace,181.88746547698975,Pass,5418.6291699409485,40000052,16185661,2.4713,4048870,516193,0.2502,0.0319,12.7491%,12.9048,12348028,23.9213,308.7003,20000052,7844252,2.5496,2031315,251533,0.2590,0.0321,12.3828%,12.5766,5957489,23.6847,297.8737
int,int_30_trace,182.9177484512329,Pass,6048.2607617378235,40000052,16492151,2.4254,4219863,533466,0.2559,0.0323,12.6418%,13.3366,12610892,23.6395,315.2719,20000052,8014172,2.4956,2099953,259261,0.2620,0.0324,12.3460%,12.9630,6102922,23.5397,305.1453
int,int_31_trace,118.0513105392456,Pass,5804.1928107738495,40000052,4693823,8.5218,4773947,33421,1.0171,0.0071,0.7001%,0.8355,641420,19.1921,16.0355,20000052,2231491,8.9626,2359187,12602,1.0572,0.0056,0.5342%,0.6301,242619,19.2524,12.1309
int,int_32_trace,317.2076416015625,Pass,8623.428164243698,110000052,86274520,1.2750,12636052,764354,0.1465,0.0089,6.0490%,6.9487,74217523,97.0984,674.7044,55000052,38011653,1.4469,6322521,377894,0.1663,0.0099,5.9770%,6.8708,32072663,84.8721,583.1388
int,int_33_trace,310.41816425323486,Pass,8645.16517162323,110000052,54765057,2.0086,16062450,911556,0.2933,0.0166,5.6751%,8.2869,43117508,47.3010,391.9772,55000052,26695116,2.0603,7710997,476154,0.2889,0.0178,6.1750%,8.6573,21010989,44.1265,382.0176
int,int_34_trace,112.3776216506958,Pass,6167.902056932449,40000052,11301846,3.5392,6380286,129344,0.5645,0.0114,2.0272%,3.2336,5875266,45.4236,146.8815,20000052,5045458,3.9640,3101677,69313,0.6147,0.0137,2.2347%,3.4656,2698386,38.9304,134.9189
int,int_35_trace,119.88736820220947,Pass,6156.008145093918,40000048,11588620,3.4517,5671843,108394,0.4894,0.0094,1.9111%,2.7098,5472872,50.4905,136.8216,20000048,5548016,3.6049,2842811,47544,0.5124,0.0086,1.6724%,2.3772,2512410,52.8439,125.6202
int,int_36_trace,201.8018684387207,Pass,7457.661812782288,53761949,35596345,1.5103,7755130,215024,0.2179,0.0060,2.7727%,3.9996,9802124,45.5862,182.3246,27761949,15415619,1.8009,4116890,105961,0.2671,0.0069,2.5738%,3.8168,4385051,41.3836,157.9518
